genre,frequency
chicago rap,25
canadian contemporary rb,14
hip hop,13
atl hip hop,12
album rock,5
pop,5
la indie,4
lgbtq hip hop,4
folkpop,3
rb,3
adult standards,2
afrofuturism,2
australian pop,2
new romantic,2
anime score,1
british soul,1
east coast hip hop,1
german soundtrack,1
indietronica,1
kpop,1
